usdot_num,fmcsa_link,user_created,date_created,user_updated,date_updated,entity_type,operating_status,oos_date,legal_name,dba_name,physical_address,phone,mailing_address,state_carrier_id_number,mc_num,duns_number,power_units,drivers,mcs_150_form_date,operation_classification,carrier_type,cargo_types,us_vehicle_inspections,us_driver_inspections,us_hazmat_inspections,us_iep_inspections,us_vehicle_out_of_service,us_driver_out_of_service,us_hazmat_out_of_service,us_iep_out_of_service,us_vehicle_out_of_service_pct,us_driver_out_of_service_pct,us_hazmat_out_of_service_pct,us_iep_out_of_service_pct,us_vehicle_natl_avg_oos_pct,us_driver_natl_avg_oos_pct,us_hazmat_natl_avg_oos_pct,us_iep_natl_avg_oos_pct,us_crashes_fatal,us_crashes_injury,us_crashes_tow,us_crashes_total,canadian_vehicle_inspections,canadian_driver_inspections,canadian_vehicle_out_of_service,canadian_driver_out_of_service,canadian_vehicle_out_of_service_pct,canadian_driver_out_of_service_pct,carrier_safety_rating_rating_date,carrier_safety_rating_review_date,carrier_safety_rating_rating,carrier_safety_rating_type,mileage,mileage_year
2441690,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2441690,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:26.294Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:20.533Z,CARRIER,NOT AUTHORIZED,,MOVING AROUND THE CLOCK,,"8316 NW 68 ST
            MIAMI, FL   33166",(305) 239-8773,"8316 NW 68 ST
          MIAMI, FL   33166",,,--,1,1,2023-07-28,Auth. For Hire,Interstate,['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,200000,2022
2453148,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2453148,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:56.290Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:50.327Z,BROKER,"AUTHORIZED FOR BROKER Property, HHG",,EXPEDITED WORLD CARGO INC,,"9667 NW 33RD STREET
            MIAMI, FL   33172",(703) 318-0100,"P.O. BOX 16548
          WASHINGTON, DC   20041",,MC-840629,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2478256,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2478256,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:16.428Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:10.565Z,BROKER,"AUTHORIZED FOR BROKER Property, HHG",,LAUNCH LOGISTICS LLC,,"2323 VICTORY AVE SUITE 1600
            DALLAS, TX   75219",(801) 708-5800,"2323 VICTORY AVE SUITE 1600
          DALLAS, TX   75219",,MC-847172,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2493617,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2493617,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:42.291Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:37.058Z,CARRIER,NOT AUTHORIZED,,RS FREIGHT SERVICE LLC,,"11246 1ST AVE S
            SEATTLE, WA   98168",(206) 369-3436,"11246 1ST AVE S
          SEATTLE, WA   98168",,MC-863793,--,4,9,2022-02-06,Auth. For Hire,Interstate,"['General Freight', 'Metal: sheets, coils, rolls', 'Logs, Poles, Beams, Lumber', 'Fresh Produce', 'Intermodal Cont.', 'Refrigerated Food', 'Beverages', 'Paper Products', 'Agricultural/Farm Supplies', 'Construction']",2,5,0,0,1,0,0,0,0.5,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,2022-11-10,None,Non-Ratable,400000,2018
2501363,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2501363,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:27.048Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:17.795Z,CARRIER,NOT AUTHORIZED,,ABC MOVERS DALLAS INC,,"5426 MEADOWCREEK DR STE 2090
            DALLAS, TX   75248",(323) 557-8028,"5426 MEADOWCREEK DR STE 2090
          DALLAS, TX   75248",,,--,1,1,2014-06-20,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2511979,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2511979,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:23.861Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:18.350Z,CARRIER,NOT AUTHORIZED,,MIRACLE WORK MOVING COMPANY LLC,,"3723 SOFTCLOUD DR
            DALLAS, TX   75241",(214) 537-5816,"3723 SOFTCLOUD DR
          DALLAS, TX   75241",,,--,1,2,2014-07-13,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2533168,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2533168,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:55.325Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:50.369Z,BROKER,AUTHORIZED FOR BROKER HHG,,TRUE NORTH RELOCATION LLC,,"1615 SW CAMBRIDGE ST
            SEATTLE, WA   98106",(206) 223-9697,"1615 SW CAMBRIDGE ST
          SEATTLE, WA   98106",,MC-869699,18-883-1965,0,,2022-08-02,Auth. For Hire,,['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2543958,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2543958,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:10.012Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:04.554Z,CARRIER,AUTHORIZED FOR HHG,,PRESTIGE MOVING SYSTEM INC,JACOB AND SONS MOVING & STORAGE,"600 NE 185TH ST
            MIAMI, FL   33179",(954) 445-0044,"19501 NE 22ND AVENUE
          MIAMI, FL   33180",,MC-885424,--,1,1,2022-07-27,Auth. For Hire,Interstate,['Household Goods'],1,1,0,0,0,1,0,0,0.0,1.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,300000,2021
2547785,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2547785,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:45.961Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:39.660Z,CARRIER,NOT AUTHORIZED,,CHHJ-DALLAS LLC,COLLEGE HUNKS HAULING JUNK OF DALLAS,"1625 W MOCKINGBIRD LANE SUITE 315
            DALLAS, TX   75235",(214) 727-9343,"1625 W MOCKINGBIRD LANE SUITE 315
          DALLAS, TX   75235",,,--,2,2,2016-03-11,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,10,2014
2549101,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2549101,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:38.476Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:31.538Z,CARRIER,NOT AUTHORIZED,,BIG BROTHER SECURITY SURVEILLANCE,BIG BROTHER EXPRESS,"5204 NW 186 TERR
            MIAMI, FL   33055",(305) 767-8513,"5204 NW 186 TERR
          MIAMI, FL   33055",,,--,2,2,2014-12-09,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2552100,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2552100,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:33:02.143Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:57.464Z,BROKER,NOT AUTHORIZED,,UNITED MOVING GROUP LLC,WORLD WIDE MOVING SERVICES LLC,"5201 BLUE LAGOON DRIVE
            MIAMI, FL   33126",(412) 294-7378,"5201 BLUE LAGOON DRIVE
          MIAMI, FL   33126",,MC-883262,--,0,,2022-01-13,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2564806,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2564806,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:37.906Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:31.147Z,BROKER,NOT AUTHORIZED,,EMA HOLDINGS EXPRESS LLC,BEST MOVERS VAN LINES,"201 S. BISCAYNE BLVD #2800
            MIAMI, FL   33131",(305) 913-0515,"201 S. BISCAYNE BLVD #2800
          MIAMI, FL   33131",,MC-889257,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2568688,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2568688,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:39.293Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:34.098Z,CARRIER,NOT AUTHORIZED,,RED CARPET MOVERS TEXAS LLC,,"10540 SILVEROCK
            DALLAS, TX   75218",(214) 697-0720,"10540 SILVEROCK
          DALLAS, TX   75218",,MC-897372,--,1,1,2023-02-07,Auth. For Hire,Interstate,['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,15000,2021
2578873,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2578873,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:48.319Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:41.972Z,CARRIER,NOT AUTHORIZED,,JOSEFINA CRUZ,CRUZ LOGISTICS,"7310 LONG CANYON TRL
            DALLAS, TX   75249",(214) 205-2360,"7310 LONG CANYON TRL
          DALLAS, TX   75249",,MC-902560,--,1,1,2015-04-06,Auth. For Hire,Intrastate Only (Non-HM),"['Household Goods', 'Fresh Produce']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,1,2014
2579788,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2579788,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:43.031Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:36.681Z,BROKER,NOT AUTHORIZED,,CAREFUL TRANSPORT SERVICES INC,,"1920 NE 188TH ST
            MIAMI, FL   33179",(305) 439-9659,"1920 NE 188TH ST
          MIAMI, FL   33179",,MC-899723,--,0,,2022-05-26,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2587278,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2587278,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:18.970Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:13.235Z,CARRIER,AUTHORIZED FOR HHG,,LS ELITE LLC,,"2655 FREEWOOD DR
            DALLAS, TX   75220",(214) 920-9998,"2713 BEDFORDSHIRE
          BEDFORD, TX   76021",,MC-906943,--,15,5,2023-03-23,Auth. For Hire,Interstate,['Household Goods'],1,1,0,0,0,1,0,0,0.0,1.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,1000,2022
2591206,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2591206,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:10.988Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:05.358Z,BROKER,NOT AUTHORIZED,,JEH TRANSPO LOGISTICS LLC,,"7215 NW 41 ST SUITE A
            MIAMI, FL   33166",(123) 456-7894,"7215 NW 41 ST SUITE A
          MIAMI, FL   33166",,MC-905341,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2594746,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2594746,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:57.389Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:51.488Z,BROKER,NOT AUTHORIZED,,FEDERAL RELOCATION SERVICES LLC,,"9507 SW 160TH ST
            MIAMI, FL   33157",,"9507 SW 160TH ST
          MIAMI, FL   33157",,MC-898358,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2627005,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2627005,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:29.566Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:20.397Z,BROKER,NOT AUTHORIZED,,ALEX'S BROKER FIRM,,"11860 SW 182ND TERR
            MIAMI, FL   33177",(786) 379-4275,"11860 SW 182ND TERR
          MIAMI, FL   33177",,MC-910988,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2629910,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2629910,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:28.504Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:19.016Z,BROKER,NOT AUTHORIZED,,ADVENTURE TRANS GROUP LLC,,"2201 MAIN ST. SUITE 770
            DALLAS, TX   75201",(214) 506-2510,"2201 MAIN ST. SUITE 770
          DALLAS, TX   75201",,MC-910518,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2638316,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2638316,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:55.968Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:51.051Z,CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,,WALLABY LLC,TWO MEN AND A TRUCK,"4075 CHARLES HARDY PKWY STE 24
            DALLAS, GA   30157",(770) 505-3332,"4075 CHARLES HARDY PKWY STE 24
          DALLAS, GA   30157",,FF-18050,--,11,12,2021-01-19,Auth. For Hire,Interstate,['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,1,1,0,0,0,0,0.0,0.0,,,None,None,150000,2018
2778841,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2778841,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:35.769Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:30.324Z,CARRIER,AUTHORIZED FOR HHG,,PREFERRED MOVING & STORAGE INC,MAKE OUR MOVE,"706 NE 191 ST TERRACE
            MIAMI, FL   33179",(305) 305-3712,"706 NE 191 ST TERRACE
          MIAMI, FL   33179",,MC-924981,--,3,3,2023-06-07,Auth. For Hire,Interstate,['Household Goods'],0,1,0,0,0,1,0,0,,1.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,1,2022
2795533,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2795533,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:52.073Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:46.942Z,BROKER,NOT AUTHORIZED,,THE RELOCATION SOLUTION,,"5565 RED BIRD CENTER DRIVE STE 120
            DALLAS, TX   75237",(732) 387-7510,"5565 RED BIRD CENTER DRIVE STE 120
          DALLAS, TX   75237",,MC-925211,--,0,,,Auth. For Hire,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2805350,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2805350,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:55.813Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:49.569Z,CARRIER,AUTHORIZED FOR Property,,ETG MOVING & DELIVERY LLC,,"153 E FLAGLER ST #366
            MIAMI, FL   33131",(786) 413-7157,"153 E FLAGLER ST #366
          MIAMI, FL   33131",,MC-103838,--,6,6,2023-02-09,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",3,8,0,0,1,3,0,0,0.33,0.38,,0.0,0.22,0.07,0.04,,0,1,0,1,0,0,0,0,0.0,0.0,,,None,None,522480,2022
2819363,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2819363,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:38.409Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:33.145Z,CARRIER,NOT AUTHORIZED,,ELIYAS IBRAHIM OSMAN,RAHAMA TRANSPORTATION,"9000 RENTON AVE SOUTH #102
            SEATTLE, WA   98118",(206) 235-4353,"9000 RENTON AVE S #1
          SEATTLE, WA   98118",,,--,2,2,2020-07-09,Auth. For Hire,Intrastate Only (Non-HM),['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,90000,2019
2821065,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2821065,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:26.537Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:17.258Z,CARRIER,AUTHORIZED FOR HHG,,A1A MOVERS LLC,,"19597 10TH AVE  BUILDING 6 BAY K
            MIAMI, FL   33179",(877) 212-6682,"19597 BUILDING 6 BAY K
          MIAMI, FL   33179",,MC-940714,--,2,2,2022-05-02,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",0,3,0,0,0,1,0,0,,0.33,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,2023-04-21,None,Non-Ratable,18000,2021
2855891,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2855891,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:37.039Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:31.705Z,CARRIER,AUTHORIZED FOR HHG,,PROMOVERS INC,,"475 BRICKELL AVE
            MIAMI, FL   33131",(305) 707-7007,"609 NE 14 AVE UNIT 102
          HALLANDALE, FL   33009",,MC-956262,--,4,4,2022-11-20,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,103000,2022
2857394,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2857394,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:34.632Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:29.124Z,CARRIER,AUTHORIZED FOR HHG,,PHOENIX EXPRESS SPECIALTY MOVING & DELIVERY LLC,,"5921 MARTEL AVE
            DALLAS, TX   75206-5707",(214) 577-8747,"5921 MARTEL AVE
          DALLAS, TX   75206-5707",,MC-67516,13-701-233,6,5,2023-03-28,Auth. For Hire,Interstate,['Household Goods'],2,3,0,0,0,2,0,0,0.0,0.67,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,110000,2021
2872068,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2872068,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:04.106Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:58.302Z,CARRIER,AUTHORIZED FOR HHG,,H & H VAN LINE INC,,"937 NW 25TH AVE
            MIAMI, FL   33125",(305) 778-4413,"937 NW 25TH AVE
          MIAMI, FL   33125-3130",,MC-963205,--,1,1,2023-03-14,Auth. For Hire,Interstate,"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,1,1,0,0,0,0,0.0,0.0,,,None,None,70000,2022
2886867,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2886867,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:26.743Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:20.983Z,BROKER,AUTHORIZED FOR BROKER HHG,,ADAMS VAN LINES CORP,MOVING SERVICES,"12985 SW 130TH CT SUITE 213
            MIAMI, FL   33186",(855) 254-0416,"12985 SW 130TH CT SUITE 213
          MIAMI, FL   33186",,MC-969195,--,0,,2016-05-04,Auth. For Hire,,['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2901120,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2901120,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:42.041Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:36.822Z,BROKER,NOT AUTHORIZED,,"ROUVROY LOGISTICS, LLC",,"11029 HARRY HINES BLVD SUITE C115  
            DALLAS, TX   75229",(214) 960-9595,"2633 MCKINNEY AVE SUITE 130-363  
          DALLAS, TX   75204",,MC-975909,--,0,,2016-06-16,Auth. For Hire,,"['General Freight', 'Fresh Produce', 'Oilfield Equipment', 'Grain, Feed, Hay', 'US Mail', 'Commodities Dry Bulk', 'Refrigerated Food', 'Beverages', 'Paper Products']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
2903673,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2903673,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:42.609Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:36.258Z,CARRIER,AUTHORIZED FOR Property,,CALLBOX STORAGE LLC,CALLBOX LOGISTICS,"8350 NORTH CENTRAL EXP SUITE 1900
            DALLAS, TX   75206",(833) 937-8673,"8350 NORTH CENTRAL EXP SUITE 1900
          DALLAS, TX   75206",,MC-86284,--,9,11,2023-07-07,Auth. For Hire,Intrastate Only (Non-HM),['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,40000,2023
290691,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=290691,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:50.306Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:44.303Z,CARRIER,AUTHORIZED FOR Property,,DELIVERY LIMITED LLC,DELIVERY LIMITED,"8220 AMBASSADOR ROW
            DALLAS, TX   75247",(214) 261-1000,"8220 AMBASSADOR ROW
          DALLAS, TX   75247",,MC-190925,91-363-549,15,30,2023-02-23,Auth. For Hire,Interstate,"['Household Goods', 'FURNITURE']",15,17,0,0,1,0,0,0,0.07,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,2008-07-17,2010-05-24,Satisfactory,Non-Ratable,110000,2018
